,urls
0,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-passeig-de-gracia-luxury/2520/descripcion/eur
1,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-guitert-beach-5/1137/descripcion/eur
2,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-arc-del-teatre/4197/descripcion/eur
3,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-espronceda-poble-nou/4234/descripcion/eur
4,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-consell-de-cent-ii/4187/descripcion/eur
5,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-recesvint-sant-andreu/4224/descripcion/eur
6,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-piquer-poble-sec/4220/descripcion/eur
7,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-guinardo-ii/4192/descripcion/eur
8,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-city-center-2-2/4091/descripcion/eur
9,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-barceloneta-port-aiguader-ii/1610/descripcion/eur
10,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-carrassa-i-el-born/4147/descripcion/eur
11,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-centric-studios-205/3087/descripcion/eur
12,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-barceloneta-beach-design/265/descripcion/eur
13,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-plaza-barceloneta-iii/897/descripcion/eur
14,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-dos-de-maig/4186/descripcion/eur
15,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-aigues-de-llobregat/4153/descripcion/eur
16,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-barcelona-eixample/4007/descripcion/eur
17,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-sant-pau-sagrada-familia-3-bedrooms-apartment/4086/descripcion/eur
18,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-osi-pedralbes/4176/descripcion/eur
19,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-pla-del-palau-born/4133/descripcion/eur
20,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-santa-coloma-de-gramenet/4096/descripcion/eur
21,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-nou-de-sant-francesc-viii/1123/descripcion/eur
22,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-plaza-barceloneta-iv/2354/descripcion/eur
23,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-gran-via-casanova-i/1796/descripcion/eur
24,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-mercat-de-sant-antoni-xi/2780/descripcion/eur
25,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-barceloneta-market-square/798/descripcion/eur
26,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-barceloneta-2-bedroom-sea-views/2306/descripcion/eur
27,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-villarroel-eixample/4155/descripcion/eur
28,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-plaza-barceloneta/3069/descripcion/eur
29,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-badalona-beach-f21-5/4065/descripcion/eur
30,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-apartment-paseo-del-born/2144/descripcion/eur
31,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-vall-d-hebron/4203/descripcion/eur
32,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-eixample-batllo-4/2949/descripcion/eur
33,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-badalona-beach-f21-2/4061/descripcion/eur
34,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-badalona-beach-f21/4063/descripcion/eur
35,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-eixample-batllo-2/2947/descripcion/eur
36,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-andrea-doria-beach/2231/descripcion/eur
37,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-sant-joan-despi/2906/descripcion/eur
38,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-studio-loft-by-the-beach/35/descripcion/eur
39,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-barceloneta-fisherman-iii/2749/descripcion/eur
40,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-apartment-paseo-del-born/2141/descripcion/eur
41,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-vila-de-gracia/2652/descripcion/eur
42,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-barcelona-views/3097/descripcion/eur
43,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-city-center-1-2/3092/descripcion/eur
44,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-centric-studios-208/3089/descripcion/eur
45,https://www.apartmentbarcelona.com//es/alquileres-medio-largo-plazo/ab-attic-private-terrace-paseo-del-born-2145/2145/descripcion/eur
