,urls,address,price_per_month,price_per_week,let_available_date,deposit,min_tenancy,furnish_type,let_type,house_type,bedrooms,bathrooms,description,dimensions_sq_m
0,https://housinganywhere.com/room/ut1460416/gb/London/leman-street?categories=studio-for-rent%2Capartment-for-rent,"Leman Street, London",1660,415,now,8300,1 month,Furnished,Long term,Apartment,1.0,2.0,"Drapery Place is located right in the heart of London and offers fantastic studio rooms with private kitchen and bathroom facilities. The property has a great selection of communal facilities for you to use such as a gym, dance studio, study spaces and common area. With multiple transport options available, you can commute to your institution and to Central London very easily.

Leaving your flat behind you for the day couldn’t be more exciting, with the vibrant streets of Shoreditch and Spitalfi...",16.0
1,https://housinganywhere.com/room/ut1483563/gb/London/james-avenue?categories=studio-for-rent%2Capartment-for-rent,"James Avenue, London",1158,290,now,1158,3 months,Furnished,Long term,Apartment,1.0,1.0,"Presenting Our Desirable Unit with a Private Patio in a Lovely House – Bright and Airy with Central Heating, Double Bedroom with Patio Doors. Just a 10-Minute Stroll to Tube Zone 2 and a Convenient 5-Minute Walk to Shops. Excitingly, Council Tax is Included in the Rent!

Experience the allure of our distinct unit, featuring its own private patio, abundant natural light, and the comfort of central heating. Enjoy the spacious double bedroom with patio doors that open up to your private outdoor spa...",17.0
2,https://housinganywhere.com/room/ut1355769/gb/London/olympic-way?categories=studio-for-rent%2Capartment-for-rent,"Olympic Way, London",1750,438,now,2187,6 months,Furnished,Long term,Apartment,1.0,2.0,"Modern living, reinvented. Experience our all-in-one living concept with a studio apartment in Wembley Park.

Our location boasts beautifully designed flats with state-of-the-art amenities, ideal for a vibrant community of young professionals.

The interiors has been carefully curated with high quality furniture and appliances, with the kitchens coming fully stocked with all cutleries and cookware.

It provides our members with access to over 1,000 sqm of state-of-the-art ground floor ameniti...",41.0
3,https://housinganywhere.com/room/ut1482540/gb/London/anson-road?categories=studio-for-rent%2Capartment-for-rent,"Anson Road, London",897,224,now,897,3 months,Furnished,Long term,Apartment,1.0,2.0,"💢💢💢

🔸Please note that advertised sizes are approximate.

Live like a local in London with our fully furnished studio apartments!

Small loft room on the top floor. Just a 10-minute walk from Willesden Green tube station (Zone 2) and shops, and a 3-minute stroll to a sprawling park. Stay warm year-round with central heating.

Our houses offer a budget-friendly way to experience London and meet other travelers. Whether you're a working holidaymaker, student, group of friends, or solo adventur...",18.0
4,https://housinganywhere.com/room/ut1483903/gb/London/blenheim-gardens?categories=studio-for-rent%2Capartment-for-rent,"Blenheim Gardens, London",1200,300,now,1167,3 months,Furnished,Long term,Apartment,1.0,2.0,"💢💢💢

🔸Please note that advertised sizes are approximate.

Live like a local in London with our fully furnished studios!

Our houses offer a budget-friendly way to experience London and meet other travelers. Whether you're a working holidaymaker, student, group of friends, or solo adventurer, there's room for you.

All rooms have:
* Fresh linen supplied
* Wardrobes
* Wooden floors
 
All houses have:
* Modern kitchens are fully equipped with toasters, kettles, pots & pans, cookers, and fridges...",17.0
5,https://housinganywhere.com/room/ut1482707/gb/London/chatsworth-road?categories=studio-for-rent%2Capartment-for-rent,"Chatsworth Road, London",1265,316,now,1265,3 months,Furnished,Long term,Apartment,1.0,2.0,"Experience Spacious Living in Our Expansive Studio – Only 5 Minutes to Tube Zone Two, Suitable for Double, Twin, or Triple Occupancy with Ample Room for a Desk, Surrounded by Shops, All on a Serene Tree-Lined Street!

Immerse yourself in the grandeur of our sizable studio, offering abundant space for double, twin, or triple occupancy. Whether you need a quiet corner for work or simply desire room to stretch out, this studio accommodates your needs with ease.

Convenience is paramount, with just...",17.0
6,https://housinganywhere.com/room/ut1482580/gb/London/chatsworth-road?categories=studio-for-rent%2Capartment-for-rent,"Chatsworth Road, London",1265,316,now,1265,3 months,Furnished,Long term,House,1.0,2.0,"💢💢💢

🔸Please note that advertised sizes are approximate.

Live like a local in London with our fully furnished private studio apartments!

Imagine stepping into your brand new double bedroom studio, a sleek and modern haven in a brand new unit. Just a 5-minute walk from the tube and 4 minutes from the bus and shops, this studio offers the perfect blend of city convenience and peaceful living.

🔸For bookings less than 6 months, we charge an additional short-term booking fee equivalent to 1 w...",18.0
7,https://housinganywhere.com/room/ut1482709/gb/London/chichele-road?categories=studio-for-rent%2Capartment-for-rent,"Chichele Road, London",1110,278,now,1110,3 months,Furnished,Long term,Apartment,1.0,2.0,"DB STUDIO , 2 MIN BUS & SHOPS 10 MIN WALK TUBE , SIDE ENTRANCE .

Immerse yourself in the grandeur of our sizable studi.  Whether you need a quiet corner for work or simply desire room to stretch out, this studio accommodates your needs with ease.

This isn't just a studio; it's a versatile living space designed for your comfort and convenience. Reserve your spot now and relish the spacious luxury of our studio, where every detail is crafted to meet your unique lifestyle needs!

Our monthly Serv...",17.0
8,https://housinganywhere.com/room/ut1438616/gb/London/chatsworth-road?categories=studio-for-rent%2Capartment-for-rent,"Chatsworth Road, London",1365,341,now,1200,3 months,Furnished,Long term,Apartment,1.0,1.0,"The accommodation:

Step into a spacious and well-lit 17.5-square-meter studio that offers a cozy living space with everything you need. This studio features a comfortable double bed, ensuring a restful night's sleep. An extendable dining table allows for versatile use, whether it's for dining, work, or simply extra space. This place also includes a flat-screen TV for your entertainment.

The studio includes a wardrobe and a dresser for organized storage, a private kitchenette for convenient mea...",17.0
9,https://housinganywhere.com/room/ut1470082/gb/London/upper-richmond-road?categories=studio-for-rent%2Capartment-for-rent,"Upper Richmond Road, London",1951,488,now,11706,3 months,Furnished,Long term,Apartment,1.0,2.0,"Please note, that for all bookings up to 179 days, upfront payment will be required. For bookings over 6 months, monthly installments will be arranged. 

  
 This one-bedroom apartment is situated in the idyllic area of Putney. Located on the second floor, this beautiful Central London flat can comfortably accommodate up to two people. The smoke-free property features a living room, a bedroom, a bathroom, and a kitchen.

The living room is equipped with a comfortable sofa, a dining table and a...",35.0
