,address,price_per_month,price_per_week,let_available_date,deposit,min_tenancy,furnish_type,let_type,house_type,bedrooms,bathrooms,dimensions,description
https://www.rightmove.co.uk/properties/145287122#/?channel=RES_LET,"Exhibition Way, London HA9","£3,373 pcm",£778 pw,Ask agent,Ask agent,Ask agent,Ask agent,Furnished,Apartment,3,2,Ask agent,"Elevate your rental experience at Tene Wembley, within easy access of Wembley Park tube station for the Jubilee line and surrounded by a plethora of shops and eateries as well as health clubs and a multi-screen cinema.

Your three-bedroom apartment has a contemporary finish throughout, with a sleek open-plan kitchen/living area that is perfect for entertaining. All of your kitchen appliances are built-in and there is great storage in the hallway.

Your bedrooms benefits from floor-to-ceiling length wardrobes to maximise the ceiling height and the apartment enjoys plenty of natural light due to the large windows.

As a resident of the building you enjoy access to the following resident-exclusive amenities:

- Dedicated concierge
- Gym with Classes
- Co-Working Spaces
- Private Dining Space with Kitchen
- Resident Lounges
- Lush Garden Spaces
- Rooftop BBQ Area
- Social Hub Space

*** The development features a number of different buildings and apartments, with a variety of layouts and aspects, all within very close proximity. The photos and the floor plan are for illustration purposes only. Please enquire for the full list of available units and their respective availability dates***

** Limited promotional offer on selected units. The advertised price is reflective of 1 month rent-free, which is only applicable on a 14-month contract. Offer only valid on selected units. Please enquire for more details.

*Available for student let"
https://www.rightmove.co.uk/properties/86773656#/?channel=RES_LET,"6 Westfield Avenue, London, E20","£2,784 pcm",£642 pw,Now,£350,12 months,Furnished,Long term,Apartment,1,1,"516 sq ft
48 sq m","Discover exceptional rental living with our premium one-bedroom apartments, Coppermaker Square. Equipped with everything you need for spectacular living, our design-led apartments offer unrivalled comfort and style.

Step into modern living in our premium one-bedroom apartment at tallest building in our community and be greeted by a spacious bedroom with an ensuite and built-in wardrobe, ensuring that you have ample storage space. Enjoy the comfort of under-floor heating and an air-cooling system, ensuring that you are always comfortable no matter the weather. The apartment also includes a Juliet balcony, allowing you to take in the phenomenal views of the city.

Amenities

Premium Gym
Impressive Pool and Spa
Yoga and spin studio
Gaming space
Roof Garden with panoramic vistas
Co-working space
Screening room
Private Dining
Exclusive Resident events
Special offers/discounts from local businesses and Westfield Centre


Terms and conditions;
- The 4 weeks free rent is applicable for the remaining Xavier and Bussell building brand new apartments, there are a small number of remaining available apartments.
- Move ins for February and March are available
- You will enjoy 4 weeks free rent for any lease that you proceed with in the newly launched Xavier or Bussell buildings which you sign and agree by 29th Feb - the lease must be for the move in (physical or the lease start date is confirmed by 31st March latest, but physical move in can be slightly later if needed) subject to referencing.*"
https://www.rightmove.co.uk/properties/86773653#/?channel=RES_LET,"Silwood Street, London, SE16","£2,145 pcm",£495 pw,Ask agent,"£2,475",Ask agent,Furnished,Long term,Flat,2,1,Ask agent,"Available with Zero Deposit Guarantee. Modern two-bedroom second floor apartment boasts a private balcony. The apartment is located on Silwood Street SE16, close to shops and a 10 min walk to Bermondsey station and local parks. This spacious apartment has just been redecorated and has a light and bright open plan reception/kitchen area, both double bedrooms have fitted storage and the main fully tiled bathroom has a shower over bath. Accommodation comprises: 2 double bedrooms, 1 bathroom, kitchen, reception room, private balcony. EPC: C. Available furnished / part-furnished. Viewing recommended.

Owing to our commitment to keep both our colleagues and clients safe we have many self-serve viewing options available to you, including a video walk-through."
https://www.rightmove.co.uk/properties/86773530#/?channel=RES_LET,"Station Road, London, SE13","£2,295 pcm",£530 pw,07/03/2024,"£2,400",Ask agent,Unfurnished,Long term,Apartment,2,2,Ask agent,"Professional landlord FIZZY LIVING is excited to present this amazing apartment in FIZZY LEWISHAM. Located right next to the DLR and national rail station, Fizzy Lewisham is situated in one of the best locations in Lewisham.

Location:
- 11 minutes to London Bridge
- 12 minutes to Waterloo
- 16 minutes to Charing Cross
- 16 minutes to Canary Wharf

Fizzy Lewisham apartments are finished to a high specification with floor to ceiling windows throughout. Kitchens are fully integrated with high-quality appliances including a dishwasher, microwave, induction hob, oven and grill, and fridge and freezer, with a washing and dryer machine tucked away in a separate large storage cupboard. Most apartments in the building come with a private balcony & others with a unique Juliet balcony.

The master bedroom includes a large in-built wardrobe and TV point. All 2 bed apartments come with 2 bathrooms, one being an en-suite in the master bedroom.

Key features exclusive to Fizzy Lewisham:
- Private rooftop terrace on the 15th floor with stunning views of London skyline / Canary
Wharf
- Stylish furniture packages
- Free superfast fibre optic broadband from the UK's leading provider

Fizzy Living is a professional and independent landlord. Rent DIRECTLY from Fizzy to cut out the agency fuss and fees, and benefit from a great range of services not usually available in rented accommodation. Our recent customer satisfaction survey has proven that the Fizzy Perks we offer have become essentials to our residents. This includes a strong community with invites to exclusive parties and events, including rooftop yoga.

*This unit is available with Flatfair's No Deposit solution, so you won't have to pay a security deposit. Instead, you would pay a small check-in fee of £350 (inc. VAT) - significantly less than a five-week deposit. This fee is non-refundable and is not a deposit so cannot be used towards covering the cost of any future damages that might occur.

Fizzy offers Assured Shorthold Tenancy Agreements with a minimum 12 month term. We believe renters deserve a better deal - Fizzy is a Landlord you can trust.

*In order to rent an apartment with us, you will need to pass affordability checks. The annual joint household income must be at least 2.66 times the annual rent. Should a household not pass the affordability criteria, we do accept UK based guarantors however they too will be subject to referencing and household income for your guarantor must be 4 times the rent. If this is not possible, we will ask for 12 months' rent to be paid in advance.

ENERGY EFFICIENT RATING BAND B

*Images and floorplans used are for illustrative purposes only. Individual apartment sizes, features, furniture and layouts may vary."
https://www.rightmove.co.uk/properties/145067288#/?channel=RES_LET,"Lithos Road, Swiss Cottage, London","£2,080 pcm",£480 pw,Ask agent,"£2,400",Ask agent,Ask agent,Long term,Flat,2,1,"505 sq ft
47 sq m","Newly refurbished two bedroom property to rent set on a popular residential road just off Finchley Road within a few minutes from the o2 Centre, Finchley Road Underground and Finchley Road & Frognal Overground. Comprising of two double bedrooms, large open plan reception plus fully tiled bathroom plus double glazed windows and gas central heating.

Lithos Road is situated within moments of all the local amenities of Finchley Road and the transport links of the area making it easily accessible to the West End and City"
https://www.rightmove.co.uk/properties/142337693#/?channel=RES_LET,"Curlew House,Hawser Lane,London, E14","£1,907 pcm",£440 pw,Now,"£2,200",Ask agent,Furnished,Long term,Apartment,1,1,"568 sq ft
53 sq m","This spectacular one-bedroom apartment in the newly built Curlew House, part of the highly sought-after Poplar Riverside development, E14.

The property comes fully furnished and comprises a spacious bedroom, an open-concept living area with a large, fully fitted kitchen and a modern bathroom.

Residents will benefit from to the amenities on the development such as 24 hour concierge service, residents lounge, co- working spaces, a 20 meter swimming pool with views, vitality pool, sauna, salt, and steam rooms, games room and cinema room and also access to a beautiful 2.5 acre riverside park.

Poplar Riverside is located on the banks of the River Lea just over 1 mile from Canary Wharf .Canning Town Underground station is under a mile away, Canary Wharf can be reached in 12 minutes and Stratford in 16 minutes.

We are delighted to inform you that the Residents Taxi service courtesy of Berkeley Homes and facilitated by your concierge team will commence on Monday 27th November 2023.
The Taxi service will be to and from Canary Wharf station Monday to Friday ( 6.30am – 9am and 4.30pm to 7pm)."
https://www.rightmove.co.uk/properties/86773599#/?channel=RES_LET,"Cottage Street, London","£2,800 pcm",£646 pw,26/04/2024,"£3,230",Ask agent,Furnished,Long term,Flat,4,1,Ask agent,"City Realtor are delighted to present to the market a spacious four bedroom maisonette located in the Heart of Poplar, near All Saints.

The property consists of a spacious double room with access to a massive back garden with its very own storage shed. There are three spacious double bedrooms & a cozy single bedroom, all rooms fully furnished with enough space to fit desks. There is a fully equipped kitchen, a full bathroom & a front porch.

The location of the property is ideal as it is easy access to the city, and has all sorts of amenities walking distance, across East India Dock Road. You can find multiple supermarkets, grocery shops, fast food, pubs, post offices, bakery, banks & loads more.

The transport links are all walking distance:
All Saints DLR - 2 minutes walk
Poplar DLR - 7 minutes walk
Canary Wharf Station - 15 minutes walk
Canning Town Station - 25 minutes walk
Mile End Station - 30 minutes walk

There are countless bus routes within 5 minutes walking distance leading in all four cardinal directions, towards Stratford, Highbury, Islington, Aldgate, Paddington, East Ham & elsewhere.

Enquire today to secure yourself this immaculate three bedroom maisonette!"
https://www.rightmove.co.uk/properties/86773578#/?channel=RES_LET,"Pattern Works, Gaywood Road, Walthamstow, London, E17","£1,600 pcm",£369 pw,04/05/2024,"£1,846",Ask agent,Unfurnished,Long term,Apartment,1,1,Ask agent,"NO DEPOSIT OPTION AVAILABLE. Offering a stylish, sleek and contemporary interior, this one-bedroom, two-bathroom loft style apartment offers both bright and spacious accommodation throughout. The apartment offers fantastic polished concrete feature walls/ceilings throughout and has a luxurious modern open plan kitchen lounge. There is also the added benefit of having a balcony The apartment is perfectly nestled within a short walk to Walthamstow Central in one direction or Walthamstow’s famous Lloyd Park in the other direction. Call now for an immediate viewing

Walthamstow Central is just a short walk away, offering Victoria line and Overground services, as well as the night Tube at the weekends. Walthamstow Mall offers a range of high street brands and supermarkets, Walthamstow market is still believed to be the longest Street market in Europe and there is also a Farmer market on a Sunday morning – offering lovely fresh seasonal Produce.

To top it off there is also a brand new cinema complex with a range of popular eateries such as Nandos.

William Morris is arguably one of Walthamstow’s most famous residents and he was in fact born and grew up in Walthamstow having lived in Water House as his childhood home. This is now the wonderful William Morris gallery and the grounds now form the wide open expanse that is Lloyd Park.

The park is ideal for tranquil walks or feed the ducks that reside on its lakes (as long as its not bread). Or attend one of the many free events that take place in the park throughout the year. There is also a recently opened food market within the grounds of the park on a Saturday - where you Can indulge and enjoy some freshly prepared street food or buy some tasty organic vegetables to take home.

A licence restricts number of tenants to a maximum of 2 unrelated persons or a family
EPC Rating: C.
Council Tax Band: B.
Rent excludes utilities, the tenancy deposit and any other permitted payments.
Monthly rent is £1600.00 PCM
Deposit payable is £1846.15 based on the advertised rent
A Holding Deposit of £369.23, based on the advertised rent, is required to reserve this property.
Min Term 1 year fixed term.
Please contact us for further information or visit our website."
https://www.rightmove.co.uk/properties/86773584#/?channel=RES_LET,"Wimbolt Street, London","£3,700 pcm",£854 pw,07/05/2024,"£4,270",Ask agent,Unfurnished,Long term,Barn Conversion,2,1,Ask agent,"We are delighted to offer to the market this well presented two bedroom terrace house on the Jesus Green Conservation Area. Offered on an unfurnished basis the property benefits from two double bedrooms, private garden and is within walking distance of excellent transport links. Available beginning of May 2024"
https://www.rightmove.co.uk/properties/86773569#/?channel=RES_LET,"Exchange Gardens, London, SW8","£3,350 pcm",£773 pw,Now,"£3,865",Ask agent,Ask agent,Long term,Apartment,2,2,"855 sq ft
79 sq m","A 14th floor two bedroom apartment set within the excellent modern development, Exchange Gardens - Keybridge.

The apartment shows impressive presentation throughout. Coming in through the front door, the hallway splits the property up, with a large Livingroom and Kitchen on the left with dual aspect, offering excellent views.

Further down the hallway we have the master bedroom which has an abundance of space with build in wardrobes and En-suite, 2nd bedroom also with an excellent sized built in wardrobe and En-suite.

The property has Juliette balconies in every room of the property.

Other features include an energy efficient heating system, underfloor heating, lift access, concierge facilities, leisure space, Gym, Swimming pool and Sauna.

Keybridge is ideally located within easy reach of the numerous shops, cafes and restaurants and a stones throw away from Vauxhall (Victoria Underground line)."
