,urls
0,https://www.spotahome.com/barcelona/for-rent:apartments/1090587
1,https://www.spotahome.com/barcelona/for-rent:apartments/977455
2,https://www.spotahome.com/barcelona/for-rent:apartments/1089545
3,https://www.spotahome.com/barcelona/for-rent:apartments/780766
4,https://www.spotahome.com/barcelona/for-rent:apartments/928796
5,https://www.spotahome.com/barcelona/for-rent:apartments/1173729
6,https://www.spotahome.com/barcelona/for-rent:apartments/1194247
7,https://www.spotahome.com/barcelona/for-rent:apartments/117826
8,https://www.spotahome.com/barcelona/for-rent:apartments/296498
9,https://www.spotahome.com/barcelona/for-rent:apartments/1087975
10,https://www.spotahome.com/barcelona/for-rent:apartments/1015461
11,https://www.spotahome.com/barcelona/for-rent:apartments/132751
12,https://www.spotahome.com/barcelona/for-rent:apartments/1073866
13,https://www.spotahome.com/barcelona/for-rent:apartments/572873
14,https://www.spotahome.com/barcelona/for-rent:apartments/1091033
15,https://www.spotahome.com/barcelona/for-rent:apartments/255528
16,https://www.spotahome.com/barcelona/for-rent:apartments/915632
17,https://www.spotahome.com/barcelona/for-rent:apartments/1187891
18,https://www.spotahome.com/barcelona/for-rent:apartments/205573
19,https://www.spotahome.com/barcelona/for-rent:apartments/1075055
20,https://www.spotahome.com/barcelona/for-rent:apartments/781227
21,https://www.spotahome.com/barcelona/for-rent:apartments/272421
22,https://www.spotahome.com/barcelona/for-rent:apartments/350126
23,https://www.spotahome.com/barcelona/for-rent:apartments/620639
24,https://www.spotahome.com/barcelona/for-rent:apartments/1077395
25,https://www.spotahome.com/barcelona/for-rent:apartments/933094
26,https://www.spotahome.com/barcelona/for-rent:apartments/201398
27,https://www.spotahome.com/barcelona/for-rent:apartments/969479
28,https://www.spotahome.com/barcelona/for-rent:apartments/1089406
29,https://www.spotahome.com/barcelona/for-rent:apartments/131360
30,https://www.spotahome.com/barcelona/for-rent:apartments/1073240
31,https://www.spotahome.com/barcelona/for-rent:apartments/117255
32,https://www.spotahome.com/barcelona/for-rent:apartments/345144
33,https://www.spotahome.com/barcelona/for-rent:apartments/597642
34,https://www.spotahome.com/barcelona/for-rent:apartments/1014779
35,https://www.spotahome.com/barcelona/for-rent:apartments/785492
36,https://www.spotahome.com/barcelona/for-rent:apartments/431005
37,https://www.spotahome.com/barcelona/for-rent:apartments/292629
38,https://www.spotahome.com/barcelona/for-rent:apartments/1181702
39,https://www.spotahome.com/barcelona/for-rent:apartments/880351
40,https://www.spotahome.com/barcelona/for-rent:apartments/518061
41,https://www.spotahome.com/barcelona/for-rent:apartments/354228
42,https://www.spotahome.com/barcelona/for-rent:apartments/415881
43,https://www.spotahome.com/barcelona/for-rent:apartments/1001197
44,https://www.spotahome.com/barcelona/for-rent:apartments/915929
45,https://www.spotahome.com/barcelona/for-rent:apartments/289792
46,https://www.spotahome.com/barcelona/for-rent:apartments/440494
47,https://www.spotahome.com/barcelona/for-rent:apartments/611050
48,https://www.spotahome.com/barcelona/for-rent:apartments/200336
49,https://www.spotahome.com/barcelona/for-rent:apartments/93980
50,https://www.spotahome.com/barcelona/for-rent:apartments/262956
51,https://www.spotahome.com/barcelona/for-rent:apartments/932399
52,https://www.spotahome.com/barcelona/for-rent:apartments/742044
53,https://www.spotahome.com/barcelona/for-rent:apartments/272935
54,https://www.spotahome.com/barcelona/for-rent:apartments/830546
55,https://www.spotahome.com/barcelona/for-rent:apartments/95310
56,https://www.spotahome.com/barcelona/for-rent:apartments/153718
57,https://www.spotahome.com/barcelona/for-rent:apartments/1190965
58,https://www.spotahome.com/barcelona/for-rent:apartments/1189099
59,https://www.spotahome.com/barcelona/for-rent:apartments/619355
60,https://www.spotahome.com/barcelona/for-rent:apartments/573912
61,https://www.spotahome.com/barcelona/for-rent:apartments/92360
62,https://www.spotahome.com/barcelona/for-rent:apartments/1091697
63,https://www.spotahome.com/barcelona/for-rent:apartments/597673
64,https://www.spotahome.com/barcelona/for-rent:apartments/95311
65,https://www.spotahome.com/barcelona/for-rent:apartments/1164098
66,https://www.spotahome.com/barcelona/for-rent:apartments/357030
67,https://www.spotahome.com/barcelona/for-rent:apartments/973311
68,https://www.spotahome.com/barcelona/for-rent:apartments/952703
69,https://www.spotahome.com/barcelona/for-rent:apartments/963612
70,https://www.spotahome.com/barcelona/for-rent:apartments/1018037
71,https://www.spotahome.com/barcelona/for-rent:apartments/666392
72,https://www.spotahome.com/barcelona/for-rent:apartments/1011907
73,https://www.spotahome.com/barcelona/for-rent:apartments/201444
74,https://www.spotahome.com/barcelona/for-rent:apartments/958455
75,https://www.spotahome.com/barcelona/for-rent:apartments/1176618
76,https://www.spotahome.com/barcelona/for-rent:apartments/621008
77,https://www.spotahome.com/barcelona/for-rent:apartments/129222
78,https://www.spotahome.com/barcelona/for-rent:apartments/1084913
79,https://www.spotahome.com/barcelona/for-rent:apartments/1181971
80,https://www.spotahome.com/barcelona/for-rent:apartments/1182000
81,https://www.spotahome.com/barcelona/for-rent:apartments/142647
82,https://www.spotahome.com/barcelona/for-rent:apartments/1073485
83,https://www.spotahome.com/barcelona/for-rent:apartments/961605
84,https://www.spotahome.com/barcelona/for-rent:apartments/228038
85,https://www.spotahome.com/barcelona/for-rent:apartments/1091197
86,https://www.spotahome.com/barcelona/for-rent:apartments/340909
87,https://www.spotahome.com/barcelona/for-rent:apartments/969485
88,https://www.spotahome.com/barcelona/for-rent:apartments/1006208
89,https://www.spotahome.com/barcelona/for-rent:apartments/623644
90,https://www.spotahome.com/barcelona/for-rent:apartments/92195
91,https://www.spotahome.com/barcelona/for-rent:apartments/598360
92,https://www.spotahome.com/barcelona/for-rent:apartments/611685
93,https://www.spotahome.com/barcelona/for-rent:apartments/401910
94,https://www.spotahome.com/barcelona/for-rent:apartments/366445
95,https://www.spotahome.com/barcelona/for-rent:apartments/1084857
96,https://www.spotahome.com/barcelona/for-rent:apartments/120942
97,https://www.spotahome.com/barcelona/for-rent:apartments/968135
98,https://www.spotahome.com/barcelona/for-rent:apartments/329154
99,https://www.spotahome.com/barcelona/for-rent:apartments/821372
100,https://www.spotahome.com/barcelona/for-rent:apartments/609310
101,https://www.spotahome.com/barcelona/for-rent:apartments/295439
102,https://www.spotahome.com/barcelona/for-rent:apartments/651154
103,https://www.spotahome.com/barcelona/for-rent:apartments/1089909
104,https://www.spotahome.com/barcelona/for-rent:apartments/400352
105,https://www.spotahome.com/barcelona/for-rent:apartments/989038
106,https://www.spotahome.com/barcelona/for-rent:apartments/477121
107,https://www.spotahome.com/barcelona/for-rent:apartments/1087760
108,https://www.spotahome.com/barcelona/for-rent:apartments/621523
109,https://www.spotahome.com/barcelona/for-rent:apartments/460772
110,https://www.spotahome.com/barcelona/for-rent:apartments/153489
111,https://www.spotahome.com/barcelona/for-rent:apartments/607963
112,https://www.spotahome.com/barcelona/for-rent:apartments/726579
113,https://www.spotahome.com/barcelona/for-rent:apartments/258987
114,https://www.spotahome.com/barcelona/for-rent:apartments/942435
115,https://www.spotahome.com/barcelona/for-rent:apartments/640436
116,https://www.spotahome.com/barcelona/for-rent:apartments/1189114
117,https://www.spotahome.com/barcelona/for-rent:apartments/948958
118,https://www.spotahome.com/barcelona/for-rent:apartments/1198335
119,https://www.spotahome.com/barcelona/for-rent:apartments/811867
120,https://www.spotahome.com/barcelona/for-rent:apartments/373921
121,https://www.spotahome.com/barcelona/for-rent:apartments/949913
122,https://www.spotahome.com/barcelona/for-rent:apartments/1197197
123,https://www.spotahome.com/barcelona/for-rent:apartments/1081588
124,https://www.spotahome.com/barcelona/for-rent:apartments/928829
125,https://www.spotahome.com/barcelona/for-rent:apartments/1090685
126,https://www.spotahome.com/barcelona/for-rent:apartments/119474
127,https://www.spotahome.com/barcelona/for-rent:apartments/143948
128,https://www.spotahome.com/barcelona/for-rent:apartments/404546
129,https://www.spotahome.com/barcelona/for-rent:apartments/622468
130,https://www.spotahome.com/barcelona/for-rent:apartments/202656
131,https://www.spotahome.com/barcelona/for-rent:apartments/637597
132,https://www.spotahome.com/barcelona/for-rent:apartments/478401
133,https://www.spotahome.com/barcelona/for-rent:apartments/400855
134,https://www.spotahome.com/barcelona/for-rent:apartments/963794
